target_name	target_accession	tlen	query_name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description_of_target	species
XP_028925549.1	-	896	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.9	1	1	1e-16	1.4e-11	58.9	0.9	3	63	798	853	796	855	0.90	DNA endonuclease RBBP8 [Ornithorhynchus anatinus]	Ornithorhynchus anatinus
XP_053810108.1	-	907	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.8	1	1	1.6e-16	2.3e-11	58.2	0.8	4	63	810	864	807	866	0.90	DNA endonuclease RBBP8 [Vidua chalybeata]	Vidua chalybeata
XP_054393576.1	-	797	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	1.0	1	1	9.2e-17	1.3e-11	59.0	1.0	3	63	699	754	697	756	0.90	DNA endonuclease RBBP8 isoform X3 [Pongo abelii]	Pongo abelii
NXE64348.1	-	927	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	830	884	827	886	0.90	CTIP endonuclease [Calcarius ornatus]	Calcarius ornatus
XP_041255246.1	-	904	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	807	861	804	863	0.90	DNA endonuclease RBBP8 [Onychostruthus taczanowskii]	Onychostruthus taczanowskii
XP_036730318.1	-	893	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	1.2	1	1	1e-16	1.4e-11	58.8	1.2	3	63	791	850	789	852	0.91	DNA endonuclease RBBP8 isoform X1 [Balaenoptera musculus]	Balaenoptera musculus
NXW82046.1	-	910	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.8	1	1	1.6e-16	2.3e-11	58.2	0.8	4	63	813	867	810	869	0.90	CTIP endonuclease [Alopecoenas beccarii]	Alopecoenas beccarii
XP_015474980.1	-	903	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	806	860	803	862	0.90	DNA endonuclease RBBP8 [Parus major]	Parus major
XP_027587042.1	-	903	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	806	860	803	862	0.90	DNA endonuclease RBBP8 [Pipra filicauda]	Pipra filicauda
KAG3093728.1	-	265	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.5	1	1	7e-17	9.6e-12	59.4	0.5	3	62	192	249	190	252	0.89	hypothetical protein PI125_g16740 [Phytophthora idaei]	Phytophthora idaei
KFP30026.1	-	923	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	826	880	823	882	0.90	DNA endonuclease RBBP8 [Colius striatus]	Colius striatus
ADQ01095.1	-	896	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.9	1	1	1.5e-16	2.1e-11	58.3	0.9	3	63	798	853	796	855	0.90	retinoblastoma-binding protein 8, partial [Callithrix jacchus]	Callithrix jacchus
NXD20567.1	-	911	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-12	60.7	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	814	868	811	870	0.90	CTIP endonuclease [Elachura formosa]	Elachura formosa
NXR74211.1	-	871	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.6e-16	2.1e-11	58.3	0.8	4	63	774	828	771	830	0.90	CTIP endonuclease [Pycnonotus jocosus]	Pycnonotus jocosus
NXL57540.1	-	923	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	826	880	823	882	0.90	CTIP endonuclease [Chordeiles acutipennis]	Chordeiles acutipennis
XP_025091051.1	-	732	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	1.8	1	1	4.3e-17	5.9e-12	60.1	0.5	3	62	660	716	658	719	0.92	uncharacterized protein LOC112562182 isoform X3 [Pomacea canaliculata]	Pomacea canaliculata
KAG6962166.1	-	265	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.5	1	1	7e-17	9.6e-12	59.4	0.5	3	62	192	249	190	252	0.89	hypothetical protein JG688_00008724 [Phytophthora aleatoria]	Phytophthora aleatoria
XP_053842091.1	-	906	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	809	863	806	865	0.90	DNA endonuclease RBBP8 [Vidua macroura]	Vidua macroura
NXU12139.1	-	923	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	826	880	823	882	0.90	CTIP endonuclease [Pardalotus punctatus]	Pardalotus punctatus
NXA78676.1	-	923	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	2.1e-16	2.8e-11	57.9	0.8	4	63	826	880	823	882	0.90	CTIP endonuclease [Thryothorus ludovicianus]	Thryothorus ludovicianus
XP_051630946.1	-	905	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	808	862	805	864	0.90	DNA endonuclease RBBP8 isoform X1 [Manacus candei]	Manacus candei
KAG7275799.1	-	102	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.6	1	1	4.1e-17	5.6e-12	60.1	0.6	3	63	4	59	2	61	0.91	hypothetical protein CRUP_038279 [Coryphaenoides rupestris]	Coryphaenoides rupestris
KFQ22685.1	-	875	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.6e-16	2.2e-11	58.3	0.8	4	63	778	832	775	834	0.90	DNA endonuclease RBBP8, partial [Merops nubicus]	Merops nubicus
XP_039918286.1	-	908	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.6e-16	2.3e-11	58.2	0.8	4	63	811	865	808	867	0.90	DNA endonuclease RBBP8 [Hirundo rustica]	Hirundo rustica
XP_008942785.1	-	875	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.6e-16	2.2e-11	58.3	0.8	4	63	778	832	775	834	0.90	PREDICTED: DNA endonuclease RBBP8, partial [Merops nubicus]	Merops nubicus
XP_017936506.1	-	903	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	806	860	803	862	0.90	DNA endonuclease RBBP8 isoform X1 [Manacus vitellinus]	Manacus vitellinus
XP_009329723.1	-	912	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	815	869	812	871	0.90	PREDICTED: DNA endonuclease RBBP8 [Pygoscelis adeliae]	Pygoscelis adeliae
NWZ39359.1	-	926	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	829	883	826	885	0.90	CTIP endonuclease [Brachypodius atriceps]	Brachypodius atriceps
NXL76241.1	-	918	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	821	875	818	877	0.90	CTIP endonuclease [Leptocoma aspasia]	Leptocoma aspasia
XP_017688938.1	-	905	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	808	862	805	864	0.90	PREDICTED: DNA endonuclease RBBP8 isoform X1 [Lepidothrix coronata]	Lepidothrix coronata
KAF1674390.1	-	914	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-12	60.7	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	817	871	814	873	0.90	DNA endonuclease RBBP8, partial [Pygoscelis papua]	Pygoscelis papua
XP_039586090.1	-	904	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.7	0.7	1	1	1.9e-16	2.6e-11	58.0	0.7	4	63	807	861	804	863	0.90	DNA endonuclease RBBP8 [Passer montanus]	Passer montanus
XP_026651473.1	-	907	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.7	0.6	1	1	2.1e-16	2.9e-11	57.9	0.6	4	63	810	864	807	866	0.90	DNA endonuclease RBBP8 isoform X1 [Zonotrichia albicollis]	Zonotrichia albicollis
XP_004702960.1	-	895	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.6	1.0	1	1	1.2e-16	1.7e-11	58.6	1.0	3	62	797	851	795	854	0.90	DNA endonuclease RBBP8 [Echinops telfairi]	Echinops telfairi
XP_032556161.1	-	905	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.6	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	808	862	805	864	0.90	DNA endonuclease RBBP8 isoform X1 [Chiroxiphia lanceolata]	Chiroxiphia lanceolata
XP_012300459.1	-	898	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.6	0.9	1	1	1.5e-16	2.1e-11	58.3	0.9	3	63	800	855	798	857	0.90	DNA endonuclease RBBP8 isoform X1 [Aotus nancymaae]	Aotus nancymaae
XP_037984338.1	-	907	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.6	0.8	1	1	1.6e-16	2.3e-11	58.2	0.8	4	63	810	864	807	866	0.90	DNA endonuclease RBBP8 [Motacilla alba alba]	Motacilla alba alba
XP_007528252.1	-	851	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.6	1.2	1	1	1.7e-16	2.4e-11	58.1	1.2	3	63	753	808	751	810	0.90	PREDICTED: DNA endonuclease RBBP8 [Erinaceus europaeus]	Erinaceus europaeus
EDL01547.1	-	795	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.6	0.8	1	1	7.8e-17	1.1e-11	59.2	0.8	3	63	697	752	695	754	0.90	mCG14102, isoform CRA_a [Mus musculus]	Mus musculus
XP_022442524.1	-	795	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.6	1.7	1	1	9e-17	1.2e-11	59.1	1.2	3	63	693	752	691	754	0.91	DNA endonuclease RBBP8 isoform X3 [Delphinapterus leucas]	Delphinapterus leucas
NXP22690.1	-	923	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.9e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	826	880	823	882	0.90	CTIP endonuclease [Scytalopus superciliaris]	Scytalopus superciliaris
XP_023777018.1	-	903	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	806	860	803	862	0.90	DNA endonuclease RBBP8 isoform X1 [Cyanistes caeruleus]	Cyanistes caeruleus
KAE9535700.1	-	393	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	2.5	1	1	9.3e-17	1.3e-11	59.0	2.5	3	63	333	392	331	393	0.94	hypothetical protein AGLY_007601 [Aphis glycines]	Aphis glycines
NXM63761.1	-	923	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	826	880	823	882	0.90	CTIP endonuclease [Illadopsis cleaveri]	Illadopsis cleaveri
XP_035126617.1	-	898	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.9	1	1	1.5e-16	2.1e-11	58.3	0.9	3	63	800	855	798	857	0.90	DNA endonuclease RBBP8 isoform X1 [Callithrix jacchus]	Callithrix jacchus
NWR42829.1	-	920	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	823	877	820	879	0.90	CTIP endonuclease [Regulus satrapa]	Regulus satrapa
XP_048881523.1	-	730	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	1.5	1	1	2.9e-17	4e-12	60.6	1.5	3	62	664	718	662	720	0.91	DNA endonuclease RBBP8 isoform X3 [Brienomyrus brachyistius]	Brienomyrus brachyistius
NXJ93754.1	-	918	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	821	875	818	877	0.90	CTIP endonuclease [Corythaixoides concolor]	Corythaixoides concolor
NXM02553.1	-	914	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	817	871	814	873	0.90	CTIP endonuclease [Tyrannus savana]	Tyrannus savana
XP_011875929.1	-	523	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	9.5	1	1	3.5e-17	4.8e-12	60.3	7.4	4	64	454	511	451	512	0.91	PREDICTED: DNA endonuclease RBBP8-like [Vollenhovia emeryi]	Vollenhovia emeryi
XP_038622438.1	-	895	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	1.1	1	1	1.2e-16	1.7e-11	58.6	1.1	3	63	797	852	795	854	0.90	DNA endonuclease RBBP8 [Tachyglossus aculeatus]	Tachyglossus aculeatus
XP_009884931.1	-	900	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	803	857	800	859	0.90	PREDICTED: DNA endonuclease RBBP8 [Charadrius vociferus]	Charadrius vociferus
KFV09770.1	-	909	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.6e-16	2.3e-11	58.2	0.8	4	63	812	866	809	868	0.90	DNA endonuclease RBBP8 [Tauraco erythrolophus]	Tauraco erythrolophus
KAI9981495.1	-	262	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.4	1	1	7.6e-17	1e-11	59.3	0.4	3	62	189	246	187	249	0.90	hypothetical protein PInf_009248 [Phytophthora infestans]	Phytophthora infestans
XP_041516024.1	-	894	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	1.6	1	1	1.2e-16	1.6e-11	58.6	0.9	3	63	796	851	794	853	0.90	DNA endonuclease RBBP8 [Microtus oregoni]	Microtus oregoni
KFW84651.1	-	885	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.6e-16	2.2e-11	58.3	0.8	4	63	788	842	785	844	0.90	DNA endonuclease RBBP8 [Manacus vitellinus]	Manacus vitellinus
NXY29195.1	-	917	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	820	874	817	876	0.90	CTIP endonuclease [Pomatorhinus ruficollis]	Pomatorhinus ruficollis
NXP03195.1	-	921	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	824	878	821	880	0.90	CTIP endonuclease [Thinocorus orbignyianus]	Thinocorus orbignyianus
NXR68451.1	-	924	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	827	881	824	883	0.90	CTIP endonuclease [Rhadina sibilatrix]	Rhadina sibilatrix
XP_005041980.1	-	906	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	809	863	806	865	0.90	PREDICTED: DNA endonuclease RBBP8 [Ficedula albicollis]	Ficedula albicollis
XP_027737574.1	-	905	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.7	1	1	1.9e-16	2.6e-11	58.0	0.7	4	63	808	862	805	864	0.90	DNA endonuclease RBBP8 [Empidonax traillii]	Empidonax traillii
XP_050186811.1	-	904	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	807	861	804	863	0.90	DNA endonuclease RBBP8 [Myiozetetes cayanensis]	Myiozetetes cayanensis
NWS06661.1	-	914	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	817	871	814	873	0.90	CTIP endonuclease [Motacilla alba]	Motacilla alba
XP_009976943.1	-	914	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	817	871	814	873	0.90	PREDICTED: DNA endonuclease RBBP8 [Tauraco erythrolophus]	Tauraco erythrolophus
XP_053913075.1	-	910	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.6e-16	2.3e-11	58.2	0.8	4	63	813	867	810	869	0.90	DNA endonuclease RBBP8 [Cuculus canorus]	Cuculus canorus
NXT50133.1	-	917	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	820	874	817	876	0.90	CTIP endonuclease [Pluvianellus socialis]	Pluvianellus socialis
XP_014479423.1	-	480	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	4.3	1	1	7.4e-17	1e-11	59.3	4.3	4	64	409	466	406	467	0.91	PREDICTED: protein gamma response 1-like isoform X2 [Dinoponera quadriceps]	Dinoponera quadriceps
NWV29452.1	-	922	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	825	879	822	881	0.90	CTIP endonuclease [Origma solitaria]	Origma solitaria
XP_041333599.1	-	904	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.6e-16	2.2e-11	58.2	0.8	4	63	807	861	804	863	0.90	DNA endonuclease RBBP8 [Pyrgilauda ruficollis]	Pyrgilauda ruficollis
KAJ7403893.1	-	921	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	824	878	821	880	0.90	DNA endonuclease RBBP8 [Pitangus sulphuratus]	Pitangus sulphuratus
NXF83837.1	-	920	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	823	877	820	879	0.90	CTIP endonuclease [Sclerurus mexicanus]	Sclerurus mexicanus
NXM48874.1	-	923	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.9	1	1	2.1e-16	2.8e-11	57.9	0.9	4	63	826	880	823	882	0.90	CTIP endonuclease [Gymnorhina tibicen]	Gymnorhina tibicen
NWS99171.1	-	921	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-12	60.6	0.7	1	1	1.9e-16	2.6e-11	58.0	0.7	4	63	824	878	821	880	0.90	CTIP endonuclease [Mionectes macconnelli]	Mionectes macconnelli
KGL94613.1	-	908	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.6	0.8	1	1	1.6e-16	2.3e-11	58.2	0.8	4	63	811	865	808	867	0.90	DNA endonuclease RBBP8 [Charadrius vociferus]	Charadrius vociferus
XP_002903059.1	-	262	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.6	0.4	1	1	7.6e-17	1e-11	59.3	0.4	3	62	189	246	187	249	0.90	conserved hypothetical protein [Phytophthora infestans T30-4]	Phytophthora infestans T30-4
KFO77906.1	-	916	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.6	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	819	873	816	875	0.90	DNA endonuclease RBBP8 [Cuculus canorus]	Cuculus canorus
KAJ8279329.1	-	1484	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.6	1.5	1	1	1.2e-16	1.6e-11	58.7	1.5	3	63	1367	1422	1365	1424	0.89	hypothetical protein COCON_G00063950 [Conger conger]	Conger conger
KAG1944391.1	-	647	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.5	1.9	1	1	1.2e-16	1.7e-11	58.6	1.9	3	63	547	602	545	604	0.89	DNA endonuclease RBBP8 [Pimephales promelas]	Pimephales promelas
XP_030908684.2	-	814	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.5	0.9	1	1	1.2e-16	1.6e-11	58.7	0.9	4	63	717	771	714	773	0.91	DNA endonuclease RBBP8 isoform X2 [Melopsittacus undulatus]	Melopsittacus undulatus
NXW79830.1	-	915	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.5	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	818	872	815	874	0.90	CTIP endonuclease [Hirundo rustica]	Hirundo rustica
XP_025091050.1	-	814	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.5	1.8	1	1	5e-17	6.8e-12	59.9	0.5	3	62	742	798	740	801	0.92	uncharacterized protein LOC112562182 isoform X2 [Pomacea canaliculata]	Pomacea canaliculata
NWY49659.1	-	916	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.5	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	819	873	816	875	0.90	CTIP endonuclease [Chionis minor]	Chionis minor
XP_039540451.1	-	652	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.5	1.9	1	1	1.2e-16	1.7e-11	58.6	1.9	3	63	552	607	550	609	0.89	DNA endonuclease RBBP8 isoform X1 [Pimephales promelas]	Pimephales promelas
KFW72376.1	-	923	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-12	60.5	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	826	880	823	882	0.90	DNA endonuclease RBBP8 [Pygoscelis adeliae]	Pygoscelis adeliae
NXO62611.1	-	923	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.3e-12	60.5	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	826	880	823	882	0.90	CTIP endonuclease [Phainopepla nitens]	Phainopepla nitens
KAF1774563.1	-	265	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.3e-12	60.5	0.5	1	1	7e-17	9.6e-12	59.4	0.5	3	62	192	249	190	252	0.89	Com1/Ctip family [Phytophthora cactorum]	Phytophthora cactorum
NWU44176.1	-	918	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.3e-12	60.5	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	821	875	818	877	0.90	CTIP endonuclease [Hylia prasina]	Hylia prasina
NWY98272.1	-	920	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.3e-12	60.5	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	823	877	820	879	0.90	CTIP endonuclease [Loxia curvirostra]	Loxia curvirostra
XP_020953400.1	-	798	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.3e-12	60.5	1.1	1	1	1e-16	1.4e-11	58.9	1.1	3	63	696	755	694	757	0.91	DNA endonuclease RBBP8 isoform X3 [Sus scrofa]	Sus scrofa
ADQ01109.1	-	897	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.3e-12	60.5	0.9	1	1	1.5e-16	2.1e-11	58.3	0.9	3	63	799	854	797	856	0.90	retinoblastoma-binding protein 8 [Alouatta sara]	Alouatta sara
XP_054926696.1	-	644	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.3e-12	60.5	5.0	1	1	3.9e-17	5.3e-12	60.2	1.5	3	62	554	610	552	613	0.92	uncharacterized protein LOC126530681 isoform X1 [Dermacentor andersoni]	Dermacentor andersoni
NWW92052.1	-	931	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.3e-12	60.5	0.7	1	1	1.9e-16	2.6e-11	58.0	0.7	4	63	834	888	831	890	0.90	CTIP endonuclease [Rhynochetos jubatus]	Rhynochetos jubatus
XP_053768895.1	-	851	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.4e-12	60.5	0.7	1	1	1.5e-16	2.1e-11	58.3	0.7	3	63	753	808	751	810	0.90	DNA endonuclease RBBP8 isoform X2 [Desmodus rotundus]	Desmodus rotundus
XP_025091049.1	-	830	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.4e-12	60.5	1.8	1	1	5.1e-17	7e-12	59.8	0.5	3	62	758	814	756	817	0.92	uncharacterized protein LOC112562182 isoform X1 [Pomacea canaliculata]	Pomacea canaliculata
XP_054140868.1	-	907	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.4e-12	60.5	0.6	1	1	2.1e-16	2.9e-11	57.9	0.6	4	63	810	864	807	866	0.90	DNA endonuclease RBBP8 [Melozone crissalis]	Melozone crissalis
XP_016067002.1	-	878	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.4e-12	60.5	0.7	1	1	1.6e-16	2.2e-11	58.3	0.7	3	63	780	835	778	837	0.90	PREDICTED: DNA endonuclease RBBP8 isoform X2 [Miniopterus natalensis]	Miniopterus natalensis
NWR86705.1	-	915	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.4e-12	60.5	0.8	1	1	2e-16	2.8e-11	57.9	0.8	4	63	818	872	815	874	0.90	CTIP endonuclease [Furnarius figulus]	Furnarius figulus
NWU11637.1	-	920	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.4e-12	60.5	0.8	1	1	1.7e-16	2.3e-11	58.2	0.8	4	63	823	877	820	879	0.90	CTIP endonuclease [Cephalopterus ornatus]	Cephalopterus ornatus
XP_043254065.1	-	498	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.4e-12	60.5	3.8	1	1	8.6e-17	1.2e-11	59.1	3.8	4	63	428	485	425	487	0.93	uncharacterized protein LOC122398358 isoform X3 [Colletes gigas]	Colletes gigas
